AuthCount	author	affiliation
1	Doebeli, Michael	University of British Columbia
1	Douglas, Carl J	University of British Columbia
1	Doyle, Frank I.	Wildlife Dynamics Consulting Terrace British Columbia Canada
1	Draghi, Jeremy A.	University of British Columbia
1	Drake, Anna	University of British Columbia
1	Dubin, Matthew E.	University of British Columbia
1	Duncan, Sophie S.	University of British Columbia
1	Dzal, Yvonne	University of British Columbia
1	Edwards, Danielle L.	University of British Columbia
1	Edworthy, Amanda	University of British Columbia
1	El-Dien, Omnia Gamal	University of British Columbia
1	El-Kassaby, Yousry	University of British Columbia
1	El-Sabaawi, Rana	University of British Columbia
1	Engels, Johannes M. M.	University of British Columbia
1	Ensing, David	University of British Columbia
1	Espinasse, Boris	University of British Columbia
1	Evans, Samuel C.	University of British Columbia
1	Fairley, Diane K.	University of British Columbia
1	Farfan, Lina	University of British Columbia
1	Farrell, Nicole	University of British Columbia
1	FitzGerald, J. Mark	University of British Columbia
1	FitzJohn, Richard Gareth	University of British Columbia
1	Fograscher, Katrina	University of British Columbia
1	Ford, Adam	University of British Columbia
1	Ford, Brett M	University of British Columbia
1	Forsythe, Jennifer	University of British Columbia
1	Frazer, Karen K	University of British Columbia
1	Frazer, Karen K.	University of British Columbia
1	Freeman, Ben	University of British Columbia
1	Freeman, Benjamin	University of British Columbia
1	Freeman, Benjamin G.	University of British Columbia
1	Friedman, Cynthia Ross	University of British Columbia
1	Friedmann, Michael	University of British Columbia
1	Friedmann, Michael C.	University of British Columbia
1	Froese, Graden	University of British Columbia
1	Fujita, Miki	University of British Columbia
1	Gale, Marika Kirstin	University of British Columbia
1	Gamal El-Dien, Omnia	University of British Columbia
1	Gawryluk, Ryan M. R.	University of British Columbia
1	Gehman, Alyssa-Lois	University of British Columbia
1	Geraldes, Armando J. M.	University of British Columbia
1	Gergel, Sarah E.	University of British Columbia
1	Gerlinsky, Carling	University of British Columbia
1	Germain, Hugo	University of British Columbia
1	Gerstein, Aleeza C	University of British Columbia
1	Gervais, Matthew M.	University of British Columbia
1	Gies, Esther A.	University of British Columbia
1	Gilbert, Kimberly Julie	University of British Columbia
1	Gill, Ivan	University of British Columbia
1	Gill, Ivan S.	University of British Columbia
1	Giordano, Anthony J.	University of British Columbia
1	Goller, Benjamin	University of British Columbia
1	Gomez, Crisostomo R.	University of British Columbia
1	Gonzalez-Espinosa, Pedro C.	University of British Columbia
1	González Torres, Luis Roberto	University of British Columbia
1	González, Angélica L.	University of British Columbia
1	Good, Sara V.	University of British Columbia
1	Gooliaff, TJ	University of British Columbia
1	Govindarajulu, Purnima	Government of British Columbia
1	Gow, Elizabeth A.	University of British Columbia
1	Gow, Jennifer L.	University of British Columbia
1	Grassa, Chris	University of British Columbia
1	Grassa, Christopher	University of British Columbia
1	Green, Beverley R.	University of British Columbia
1	Greenwood, Jennifer L.	University of British Columbia
1	Gregr, Edward J.	University of British Columbia
1	Grossen, Christine	University of British Columbia
1	Guggisberg, Alessia	University of British Columbia
1	Guimaraes, Alice	University of British Columbia
1	Guiry, Eric	University of British Columbia
1	Gurr, David B.	University of British Columbia
1	Haggarty, Dana R.	University of British Columbia
1	Hahn, Min A.	University of British Columbia
1	Haman, Katherine H.	University of British Columbia
1	Hamelin, Richard	University of British Columbia
1	Hamilton, Jill A.	University of British Columbia
1	Harley, Christopher	University of British Columbia
1	Harsch, Corie H.	University of British Columbia
1	Hart, Edmund	University of British Columbia
1	Hart, Edmund M.	University of British Columbia
1	Hart, Miranda	University of British Columbia
1	Hart, Miranda M.	University of British Columbia
1	Hatfield, Todd	University of British Columbia
1	Hausch, Stephen	University of British Columbia
1	Hawley, Alyse K.	University of British Columbia
1	Heath, John W.	Yellow Island Aquaculture Limited, Heriot Bay, British Columbia, Canada
1	Heckman, Nancy	University of British Columbia
1	Hefer, Charles	University of British Columbia
1	Helmy, Olga E.	University of British Columbia
1	Henrich, Joseph	University of British Columbia
1	Henriques, Gil	University of British Columbia
1	Henry, Gregory H. R.	University of British Columbia
1	Henry, P.	University of British Columbia
1	Himsworth, Chelsea	University of British Columbia
1	Himsworth, Chelsea G.	University of British Columbia
1	Hinch, Scott G.	University of British Columbia
1	Hodgson, Emma E.	University of British Columbia
1	Hoffman, Catherine R.	University of British Columbia
1	Hogg, James C.	University of British Columbia
1	Hoorfar, Mina	University of British Columbia
1	Huang, Kaichi	University of British Columbia
1	Hübner, Sariel	University of British Columbia
1	Imlach, Brittany	University of British Columbia
1	Iritani, Davis	University of British Columbia
1	Irwin, D. E.	University of British Columbia
1	Irwin, Darren	University of British Columbia
1	Irwin, Darren E	University of British Columbia
1	Irwin, Darren, E.	University of British Columbia
1	Irwin, Nicholas A. T.	University of British Columbia
1	Jackson, Michelle M.	University of British Columbia
1	Jankowski, Jill	University of British Columbia
1	Janouškovec, Jan	University of British Columbia
1	Jarman, Simon N.	University of British Columbia
1	Jeanniard Dudot, Tiphaine	University of British Columbia
1	Jeffries, Ken M.	University of British Columbia
1	Jones, Melanie D.	University of British Columbia
1	Jones, Miranda C.	University of British Columbia
1	Jones, Steven J M	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Jones, T. Todd	University of British Columbia
1	Kandlikar, Milind	University of British Columbia
1	Kane, Nolan	University of British Columbia
1	Kane, Nolan K.	University of British Columbia
1	Kantar, Michael B.	University of British Columbia
1	Kaplan, Maia	University of British Columbia
1	Karnkowska, Anna	University of British Columbia
1	Kaur, Katrina M.	University of British Columbia
1	Kawchuk, Jamie	University of British Columbia
1	Kay, Sharon	University of British Columbia
1	Kearney, Sean P.	University of British Columbia
1	Kelley, J. Patrick	University of British Columbia
1	Khalfallah, Myriam	University of British Columbia
1	Kharouba, Heather M.	University of British Columbia
1	Kheirandish, Sam	University of British Columbia
1	King, Matthew G.	University of British Columbia
1	Kirk, Stephanie L	University of British Columbia
1	Klápste, Jaroslav	University of British Columbia
1	Koch, Alexander	University of British Columbia
1	Kolosova, Natalia	University of British Columbia
1	Kopp, Christopher W.	University of British Columbia
1	Kraft, Nathan J. B.	University of British Columbia
1	Krassioukov, Andrei V.	University of British Columbia
1	Kratina, Pavel	University of British Columbia
1	Kuzmin, Anastasia	University of British Columbia
1	Labonté, Jessica M.	University of British Columbia
1	Lalonde, Danielle	University of British Columbia
1	Lam, Tania	University of British Columbia
1	Lam, Vicky	University of British Columbia
1	Lam, Vicky W. Y.	University of British Columbia
1	Lam, Vivienne K. Y.	University of British Columbia
1	LeCraw, Robin M.	University of British Columbia
1	LeMay, Valerie	University of British Columbia
1	Lee, Kirsten C. Y.	University of British Columbia
1	Lee, Kirsten C.Y.	University of British Columbia
1	Lee-Yaw, J. A.	University of British Columbia
1	Lee-Yaw, Julie A.	University of British Columbia
1	Leipsic, Jonathon A.	University of British Columbia
1	Lemay, Matthew A.	University of British Columbia
1	Lenkic, Peter J.	University of British Columbia
1	Lerner, Jackie	University of British Columbia
1	Li, Eryang	University of British Columbia
1	Li, Peixian	University of British Columbia
1	Li, Qiang	University of British Columbia
1	Li, Qin	University of British Columbia
1	Licandeo, Roberto	University of British Columbia
1	Lo, Dara S.	University of British Columbia
1	Lotto, Andrew G.	University of British Columbia
1	Luka, George S.	University of British Columbia
1	Luo, Yong	University of British Columbia
1	Lynd, Larry D.	University of British Columbia
1	MacDonald, Andrew M.	University of British Columbia
1	MacDonald, Elizabeth C.	University of British Columbia
1	MacLachlan, Ian R.	University of British Columbia
1	MacLeod, Colin	University of British Columbia
1	MacLeod, Colin D.	University of British Columbia
1	MacPherson, Ailene	University of British Columbia
1	Machac, Antonin	University of British Columbia
1	Magnuson-Ford, Karen	University of British Columbia
1	Makowska, I. Joanna	University of British Columbia
1	Man, S. F. Paul	University of British Columbia
1	Mansfied, Shawn D.	University of British Columbia
1	Markel, Russell W.	University of British Columbia
1	Marques, Isabel	University of British Columbia
1	Marr, Amy B.	University of British Columbia
1	Marshall, Peter L.	University of British Columbia
1	Martinez-Nuñez, Felix	University of British Columbia
1	Martone, Patrick	University of British Columbia
